q	p	q_NoSign	p_NoSign	phenotype	covar	pc	contrast	test	testSize	gwas	gwasSize
-0.52780159076856	0.597637052930024	-0.443819786864809	0.657172881488251	StandingHeight_50	TRUE	10	east	t1000	1000	g50000	50000
-0.00527045061902433	0.995794808291006	-0.624544831432503	0.532269837699461	StandingHeight_50	TRUE	10	east	t100	100	g50000	50000
-0.00132373987000354	0.998943808703663	0.0183049154581992	0.985395606155859	StandingHeight_50	TRUE	10	east	t50000	50000	g50000	50000
1.94566735499894	0.0516947104508158	2.04342992713587	0.0410098974422376	StandingHeight_50	TRUE	10	east	t5000	5000	g50000	50000
-1.08870274434071	0.276284991213954	-1.04167327432377	0.297563183816914	Educational_Attainment_6138	TRUE	0	north	t100000	1e+05	g50000	50000
-4.94250847866117	7.71237501866085e-07	-4.88715107157386	1.02305591117478e-06	Educational_Attainment_6138	TRUE	0	north	t1000	1000	g50000	50000
-1.75432097178852	0.07937552423736	-1.63824312923105	0.101370985937345	Educational_Attainment_6138	TRUE	0	north	t100	100	g50000	50000
-1.26757618666608	0.204949340434907	-1.19281054684587	0.232943578598642	Educational_Attainment_6138	TRUE	0	north	t50000	50000	g50000	50000
-3.3725553910682	0.000744741048414346	-2.86982671065504	0.00410696807947237	Educational_Attainment_6138	TRUE	0	north	t5000	5000	g50000	50000
-1.15196891000493	0.249333849229094	-0.41758810988158	0.676248291570464	StandingHeight_50	TRUE	0	north	t100000	1e+05	g50000	50000
-1.58101160968886	0.113875383228409	-1.56516744430148	0.117543652855223	StandingHeight_50	TRUE	0	north	t1000	1000	g50000	50000
-1.14291675777408	0.253073154152708	-0.809407601771341	0.418280731074326	StandingHeight_50	TRUE	0	north	t100	100	g50000	50000
-0.59877214559643	0.549324839387463	-0.256746122226188	0.797374764261562	StandingHeight_50	TRUE	0	north	t50000	50000	g50000	50000
-0.679572747054035	0.496775030706582	-0.0505391506340627	0.959692751557224	StandingHeight_50	TRUE	0	north	t5000	5000	g50000	50000
0.556922978253752	0.577580054301122	0.565928058266815	0.571442686881124	Educational_Attainment_6138	TRUE	10	north	t100000	1e+05	g50000	50000
-1.35567459424395	0.175202726289717	-1.26767254453582	0.204914913406974	Educational_Attainment_6138	TRUE	10	north	t1000	1000	g50000	50000
-1.54677888125851	0.121916574368221	-1.28676713025824	0.19817546686728	Educational_Attainment_6138	TRUE	10	north	t100	100	g50000	50000
0.453538419755	0.650161084639621	0.895894301178613	0.370309218110929	Educational_Attainment_6138	TRUE	10	north	t50000	50000	g50000	50000
-1.1776201918222	0.238948056400781	-0.791955941423606	0.428386366549408	Educational_Attainment_6138	TRUE	10	north	t5000	5000	g50000	50000
-0.609653000551984	0.542091694512989	-0.533565372134309	0.593642271285034	StandingHeight_50	TRUE	10	north	t100000	1e+05	g50000	50000
0.802773300113575	0.422105777132276	0.68286331366831	0.494693217649182	StandingHeight_50	TRUE	10	north	t1000	1000	g50000	50000
1.24357976077338	0.213654268869077	1.50338897384683	0.132738768239093	StandingHeight_50	TRUE	10	north	t100	100	g50000	50000
0.28362349806106	0.776698927440773	0.369581521249761	0.711694321640879	StandingHeight_50	TRUE	10	north	t50000	50000	g50000	50000
-0.60939094475898	0.542265338570836	-0.653878690607856	0.513189963781381	StandingHeight_50	TRUE	10	north	t5000	5000	g50000	50000
